doctor_name,specialization,city,clinic,rating,reviews_count,experience_years,price,consultation_format,source,profile_url
Кабдолов Ерлан Имамадиевич,Маммолог,Алматы,Emirmed - Медицинский центр на Розыбакиева,5,9,30,7000,,idoctor.kz,https://idoctor.kz/almaty/doctor/3134-kabdolov-erlan-imamadievich#review
Манашева Анаргуль Сарсенгалиевна,Маммолог,Алматы,MamaVita - Центр женского здоровья на Навои,,,11,20000,,idoctor.kz,https://idoctor.kz/almaty/doctor/3240-manasheva-anargul-sapingalievna
Манашева Анаргуль Сарсенгалиевна,Маммолог,Алматы,MamaVita - Центр женского здоровья на Навои,,,11,20000,,idoctor.kz,https://idoctor.kz/almaty/doctor/3240-manasheva-anargul-sapingalievna#review
Пархоменко Людмила Витальевна,Акушер-гинеколог,Алматы,Достар Мед - Медицинский центр на Сеченова,4,18,,20000,,idoctor.kz,https://idoctor.kz/almaty/doctor/3485-parhomenko-lyudmila-vitalevna
Пархоменко Людмила Витальевна,Акушер-гинеколог,Алматы,Достар Мед - Медицинский центр на Сеченова,4,18,,20000,,idoctor.kz,https://idoctor.kz/almaty/doctor/3485-parhomenko-lyudmila-vitalevna#review
Никонов Игорь Олегович,Онколог,Алматы,"Медицинский центр ""Керуен-Medicus"" на Бухар Жирау",5,107,20,12000,,idoctor.kz,https://idoctor.kz/almaty/doctor/364-nikonov-igor-olegovich
Никонов Игорь Олегович,Онколог,Алматы,"Медицинский центр ""Керуен-Medicus"" на Бухар Жирау",5,107,20,12000,,idoctor.kz,https://idoctor.kz/almaty/doctor/364-nikonov-igor-olegovich#review
Косинцев Владимир Георгиевич,Психолог,Алматы,Центр Академической и Практической Психологии,,,26,0,,idoctor.kz,https://idoctor.kz/almaty/doctor/3745-kosintsev-vladimir-georgievich
Косинцев Владимир Георгиевич,Психолог,Алматы,Центр Академической и Практической Психологии,,,26,0,,idoctor.kz,https://idoctor.kz/almaty/doctor/3745-kosintsev-vladimir-georgievich#review
Мельникова Людмила Алексеевна,Психолог,Алматы,Кабинет психолога Мельниковой Людмилы,5,13,17,30000,,idoctor.kz,https://idoctor.kz/almaty/doctor/3998-melnikova-lyudmila-alekseevna
Мельникова Людмила Алексеевна,Психолог,Алматы,Кабинет психолога Мельниковой Людмилы,5,13,17,30000,,idoctor.kz,https://idoctor.kz/almaty/doctor/3998-melnikova-lyudmila-alekseevna#review
Гречаная Татьяна Сергеевна,Невролог (Невропатолог),Алматы,АртроLife clinic,5,6,16,5000,,idoctor.kz,https://idoctor.kz/almaty/doctor/4946-grechanaya-tatyana-sergeevna
Гречаная Татьяна Сергеевна,Невролог (Невропатолог),Алматы,АртроLife clinic,5,6,16,5000,,idoctor.kz,https://idoctor.kz/almaty/doctor/4946-grechanaya-tatyana-sergeevna#review
Игисинова Гульнур Сагинбековна,Онколог,Алматы,Поликлиника – Национальный госпиталь Медицинского центра Управления делами Президента Республики Казахстан.,5,11,,16380,,idoctor.kz,https://idoctor.kz/almaty/doctor/5461-igisinova-gulnura-saginbekovna
Игисинова Гульнур Сагинбековна,Онколог,Алматы,Поликлиника – Национальный госпиталь Медицинского центра Управления делами Президента Республики Казахстан.,5,11,,16380,,idoctor.kz,https://idoctor.kz/almaty/doctor/5461-igisinova-gulnura-saginbekovna#review
Караваев Виктор Сергеевич,Нейрохирург,Алматы,,5,3,16,10000,,idoctor.kz,https://idoctor.kz/almaty/doctor/567129-karavaev-viktor
Исенова Самал Аманбайкызы,Кардиолог,Алматы,,5,2,13,8000,,idoctor.kz,https://idoctor.kz/almaty/doctor/567163-isenova-samal
