doctor_name,specialization,experience_years,clinic,city,rating,reviews_count,profile_url
Федюкова Евгения Владимировна,Стоматолог детский,,"Стоматологическая клиника ""WHITESTORY by KIDS SMILE"" на Азербаева",Алматы,0,0,https://doctor.kz/doctors/53328601619543150
Ким Галина Михайловна,Врач УЗИ • Терапевт,,"Медицинский центр ""МЕЙІРІМ""",Тараз,0,0,https://doctor.kz/doctors/898692551484217070
Айтжанова Райгуль Климовна,Невропатолог детский • Психиатр детский,,Центр САТР,Алматы,0,1,https://doctor.kz/doctors/250496701653455202
Петров Андрей Викторович,Невропатолог/ Невролог • Эпилептолог,,Институт неврологии и нейрореабилитации имени Смагула Кайшибаева,Алматы,0,0,https://doctor.kz/doctors/483751231671543705
Тулепбекова Наиля Маликовна,Сурдолог,,Центр САТР,Алматы,0,0,https://doctor.kz/doctors/15014951726570464
Кириллова Мария Николаевна,Сурдолог,,Центр САТР,Алматы,0,0,https://doctor.kz/doctors/855024581726570926
Ежбанов Бахыт Ибраимович,Врач УЗИ • Врач функциональной диагностики,,"Медицинский центр ""ИНТЕРМЕДИКАЛ""",Талгар,0,0,https://doctor.kz/doctors/332293331720523195
Рудских Татьяна Александровна,Педиатр • Эндокринолог,,"Медицинский центр ""DOBRO MEDICAL""",Алматы,5,1,https://doctor.kz/doctors/926722321486367867
Тебеев Азимхан Кайыпназарович,Хирург • Хирург детский,,"Медицинский центр ""PREMIUM CLINIC"" на Дулати",Шымкент,0,0,https://doctor.kz/doctors/675621401701337358
Сабралиева Ляззат Рахманбергеновна,Невропатолог детский • Невропатолог/ Невролог,,"Медицинский центр ""ГУЛЬ-КАНАТ""",Алматы,0,0,https://doctor.kz/doctors/572291241712575819
Шин Эдуард Владиславович,Ангиохирург • Хирург,,"Медицинский центр ""ИНТЕРМЕДИКАЛ""",Талгар,0,0,https://doctor.kz/doctors/431135531720595531
Комендантова Ольга Викторовна,Инфекционист • Педиатр,,"Медицинский центр ""АЙЯ""",Астана,0,0,https://doctor.kz/doctors/166538891662716866
Хасанов Тимурлан Тахирович,Семейный врач,,"Медицинский центр ""IMC"" на Муканова",Алматы,0,0,https://doctor.kz/doctors/738650821671811991
Распекова Лаззат Кыбраевна,Акушер-гинеколог • Гинеколог,,"Медицинский центр ""МЕЙІРІМ""",Тараз,0,0,https://doctor.kz/doctors/658956391484213878
